COMUNA_NAME,GLOSA,TOTAL
Antofagasta,"Árboles de transmisión (incluidos los de levas y los cigüeñales) y manivelas; cajas de cojinetes y cojinetes; engranajes y ruedas de fricción; husillos fileteados de bolas o rodillos; reductores, multiplicadores y variadores de velocidad, incluidos los convertidores de par; volantes y poleas, incluidos los motones; embragues y órganos de acoplamiento, incluidas las juntas de articulación.","6953304,84"
Antofagasta,Las demás manufacturas de caucho vulcanizado sin endurecer.,"6552987,87"
Antofagasta,"Centrifugadoras, incluidas las secadoras centrífugas; aparatos para  filtrar o depurar líquidos o gases.","6537492,36"
Antofagasta,"Partes identificables como destinadas, exclusiva o principalmente, a los aparatos de las partidas 8535, 8536 u 8537.","4976327,44"
Antofagasta,"Tubos de caucho vulcanizado sin endurecer, incluso con sus accesorios (por ejemplo: juntas, codos, empalmes (racores)).","4024286,56"
Antofagasta,"Transformadores eléctricos, convertidores eléctricos estáticos (por ejemplo, rectificadores) y bobinas de reactancia (autoinducción).","3757371,56"
Antofagasta,Las demás manufacturas de hierro o acero.,"3384947,54"
Antofagasta,"Cloruros, oxicloruros e hidroxicloruros; bromuros y oxibromuros; yoduros y oxiyoduros.","2635472,73"
Antofagasta,Remolques y semirremolques para cualquier vehículo; los demás vehículos no automóviles; sus partes.,"2452994,93"
Antofagasta,"Bombas de aire o de vacío, compresores de aire u otros gases y ventiladores;  campanas aspirantes para extracción o reciclado, con ventilador incorporado, incluso con filtro.","2331038,57"
Antofagasta,"Partes de máquinas o aparatos, no expresadas ni comprendidas en otra parte de este Capítulo, sin conexiones eléctricas, partes aisladas eléctricamente, bobinados, contactos ni otras características eléctricas.","2257118,26"
Antofagasta,"Aparatos mecánicos (incluso manuales) para proyectar, dispersar o pulverizar materias líquidas o en polvo; extintores, incluso cargados; pistolas aerográficas y aparatos similares; máquinas y aparatos de chorro de arena o de vapor y aparatos de chorro similares.","2205661,25"
Antofagasta,"Grúas y aparatos de elevación sobre cable aéreo; puentes rodantes, pórticos de descarga o manipulación, puentes grúa, carretillas puente y carretillas grúa.",2100000
Antofagasta,"Neumáticos (llantas neumáticas) recauchutados o usados, de caucho; bandajes (llantas macizas o huecas), bandas de rodadura para neumáticos (llantas neumáticas) y protectores («flaps»), de caucho.","1889726,35"
Antofagasta,"Bombas para líquidos, incluso con dispositivo medidor incorporado; elevadores de líquidos.","1882753,19"
Antofagasta,"Moluscos, incluso separados de sus valvas, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; moluscos ahumados, incluso pelados o cocidos, antes o durante el ahumado; harina, polvo y «pellets» de moluscos, aptos para la alimentación humana.","1796546,2"
Antofagasta,"Rodamientos de bolas, de rodillos o de agujas.","1769406,27"
Antofagasta,"Desperdicios y desechos, de cobre.","1659597,01"
Antofagasta,"Cables, trenzas, eslingas y artículos similares, de hierro o acero, sin aislar para electricidad.","1596844,45"
Antofagasta,"Instrumentos, aparatos y máquinas de medida o control, no expresados ni comprendidos en otra parte de este Capítulo; proyectores de perfiles.","1432931,4"
Antofagasta,"Aparatos para corte, seccionamiento, protección, derivación, empalme o conexión de circuitos eléctricos (por ejemplo: interruptores, conmutadores, cortacircuitos, pararrayos, limitadores de tensión, supresores de sobretensión transitoria, tomas de corriente y demás conectores, cajas de empalme), para una tensión superior a 1000 voltios.","1380961,16"
Antofagasta,Las demás manufacturas de plástico y manufacturas de las demás materias de las partidas 3901 a 3914.,"1192949,05"
Antofagasta,"Resistencias eléctricas, excepto las de calentamiento (incluidos reóstatos y potenciómetros).","1062929,66"
Antofagasta,"Aparatos eléctricos de señalización acústica o visual (por ejemplo: timbres, sirenas, tableros indicadores, avisadores de protección contra robo o incendio), excepto los de las partidas 8512 u 8530.","1014729,67"
Antofagasta,"Hilos, cables (incluidos los coaxiales) y demás conductores aislados para electricidad, aunque estén laqueados, anodizados o provistos de piezas de conexión; cables de fibras ópticas constituidos por fibras enfundadas individualmente, incluso con conductores eléctricos incorporados o provistos de piezas de conexión.","940629,76"
Antofagasta,Polipastos; tornos y cabrestantes; gatos.,"832158,65"
Antofagasta,"Telas metálicas (incluidas las continuas o sin fin), redes y rejas, de alambre de hierro o acero; chapas y tiras, extendidas (desplegadas), de hierro o acero.","746309,18"
Antofagasta,"Llaves de ajuste de mano (incluidas las llaves dinamométricas); cubos (vasos)* de ajuste intercambiables, incluso con mango.","696096,57"
Antofagasta,"Máquinas y aparatos de clasificar, cribar, separar, lavar, quebrantar, triturar, pulverizar, mezclar, amasar o sobar, tierra, piedra u otra materia mineral sólida (incluidos el polvo y la pasta);  máquinas de aglomerar, formar o moldear combustibles minerales sólidos, pastas cerámicas, cemento, yeso o demás materias minerales en polvo o pasta; máquinas de hacer moldes de arena para fundición.","574024,45"
Antofagasta,"Juntas metaloplásticas; surtidos de juntas o empaquetaduras de distinta composición presentados en bolsitas, sobres o envases análogos; juntas mecánicas de estanqueidad.","543023,12"
Antofagasta,Contenedores (incluidos los contenedores cisterna y los contenedores depósito) especialmente concebidos y equipados para uno o varios medios de transporte.,"497097,38"
Antofagasta,"Cuadros, paneles, consolas, armarios y demás soportes equipados con varios aparatos de las partidas  8535 u 8536, para control o distribución de electricidad, incluidos los que incorporen instrumentos o aparatos del Capítulo 90, así como los aparatos de control numérico, excepto los aparatos de conmutación de la partida 8517.","438834,26"
Antofagasta,"Muelles (resortes), ballestas y sus hojas, de hierro o acero.","376383,27"
Antofagasta,"Partes identificables como destinadas, exclusiva o principalmente, a los motores de las partidas 8407 u 8408.","366944,23"
Antofagasta,"Piezas aislantes totalmente de materia aislante o con simples piezas metálicas de ensamblado (por ejemplo, casquillos roscados) embutidas en la masa, para máquinas, aparatos o instalaciones eléctricas, excepto los aisladores de la partida 8546; tubos aisladores y sus piezas de unión, de metal común, aislados interiormente.","362653,45"
Antofagasta,"Desperdicios y desechos (chatarra), de fundición, hierro o acero; lingotes de chatarra de hierro o acero.","346194,99"
Antofagasta,"Partes identificables como destinadas, exclusiva o principalmente, a las máquinas de las partidas 8501 u 8502.","344368,34"
Antofagasta,Artículos de prendería.,"320744,88"
Antofagasta,"Instrumentos y aparatos de geodesia, topografía, agrimensura, nivelación, fotogrametría, hidrografía, oceanografía, hidrología, meteorología o geofísica, excepto las brújulas; telémetros.","320744,88"
Antofagasta,"Partes identificables como destinadas, exclusiva o principalmente, a los aparatos de las partidas 8525 a 8528.","320551,91"
Antofagasta,"Acumuladores eléctricos, incluidos sus separadores, aunque sean cuadrados o rectangulares.","303767,05"
Antofagasta,Circuitos electrónicos integrados.,"299119,96"
Antofagasta,Instrumentos y aparatos para regulación o control automáticos.,"291836,8"
Antofagasta,Perfiles de hierro o acero sin alear.,"283042,94"
Antofagasta,"Barras y perfiles, de cobre.","277150,37"
Antofagasta,"Cierres, monturas cierre, hebillas, hebillas cierre, corchetes, ganchos, anillos para ojetes y artículos similares, de metal común, para prendas de vestir, calzado, toldos, marroquinería o demás artículos confeccionados; remaches tubulares o con espiga hendida de metal común; cuentas y lentejuelas, de metal común.","247901,83"
Antofagasta,"Discos, cintas, dispositivos de almacenamiento permanente de datos a base de semiconductores, tarjetas inteligentes («smart cards») y demás soportes para grabar sonido o grabaciones análogas, grabados o no, incluso las matrices y moldes galvánicos para fabricación de discos, excepto los productos del Capítulo 37.","247901,83"
Antofagasta,"Desperdicios y desechos, de aluminio.","217272,16"
Antofagasta,"Las demás máquinas y aparatos de elevación, carga, descarga o manipulación (por ejemplo: ascensores, escaleras mecánicas, transportadores, teleféricos).","210158,85"
Antofagasta,"Diodos, transistores y dispositivos semiconductores similares; dispositivos semiconductores fotosensibles, incluidas las células fotovoltaicas, aunque estén ensambladas en módulos o paneles; diodos emisores de luz; cristales piezoeléctricos montados.","200468,39"
Antofagasta,"Depósitos, cisternas, cubas y recipientes similares para cualquier materia (excepto gas comprimido o licuado), de fundición, hierro o acero, de capacidad superior a 300 l, sin dispositivos mecánicos ni térmicos, incluso con revestimiento interior o calorífugo.",183950
Antofagasta,"Las demás manufacturas moldeadas de fundición, hierro o acero.","179126,12"
Antofagasta,"Accesorios de tubería (por ejemplo: empalmes (racores), codos, manguitos), de fundición, hierro o acero.","168401,51"
Antofagasta,"Instrumentos y aparatos para la medida o control del caudal, nivel, presión u otras características variables de líquidos o gases (por ejemplo: caudalímetros, indicadores de nivel, manómetros, contadores de calor), excepto los instrumentos y aparatos de las partidas 9014, 9015, 9028 ó 9032.","127329,56"
Antofagasta,"Máquinas y aparatos eléctricos con función propia, no expresados ni comprendidos en otra parte de este Capítulo.","121624,52"
Antofagasta,"Máquinas y aparatos para trabajar caucho o plástico o para fabricar productos de estas materias, no expresados ni comprendidos en otra parte de este Capítulo.",108486
Antofagasta,Las demás manufacturas de plomo.,"94963,05"
Antofagasta,Partes y accesorios de vehículos automóviles de las partidas 8701 a 8705.,"94127,29"
Antofagasta,Abonos minerales o químicos potásicos.,89740
Antofagasta,"Correas transportadoras o de transmisión, de caucho vulcanizado.","82920,16"
Antofagasta,"Aparatos de radar, radionavegación o radiotelemando.","78620,33"
Antofagasta,"Los demás contadores (por ejemplo: cuentarrevoluciones, contadores de producción, taxímetros, cuentakilómetros, podómetros); velocímetros y tacómetros, excepto los de las partidas 9014 ó 9015; estroboscopios.","76231,27"
Antofagasta,"Lámparas y tubos eléctricos de incandescencia o de descarga, incluidos los faros o unidades «sellados» y las lámparas y tubos de rayos ultravioletas o infrarrojos; lámparas de arco.","70898,32"
Antofagasta,Circuitos impresos.,"70731,27"
Antofagasta,"Colas y demás adhesivos preparados, no expresados ni comprendidos en otra parte; productos de cualquier clase utilizados como colas o adhesivos, acondicionados para la venta al por menor como colas o adhesivos, de peso neto inferior o igual a 1 kg.","65022,63"
Antofagasta,"Electrodos y escobillas de carbón, carbón para lámparas o pilas y demás artículos de grafito u otros carbonos, incluso con metal, para usos eléctricos.","65022,63"
Antofagasta,"Construcciones y sus partes (por ejemplo: puentes y sus partes, compuertas de esclusas, torres, castilletes, pilares, columnas, armazones para techumbre, techados, puertas y ventanas y sus marcos, contramarcos  y umbrales, cortinas de cierre, barandillas), de fundición, hierro o acero, excepto las construcciones prefabricadas de la partida 9406; chapas, barras, perfiles, tubos y similares, de fundición, hierro o acero, preparados para la construcción.","64255,8"
Antofagasta,"Aceites de petróleo o de mineral bituminoso, excepto los aceites crudos; preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petróleo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base; desechos de aceites.","56505,4"
Antofagasta,"Tubos y accesorios de tubería (por ejemplo: juntas, codos, empalmes (racores)), de plástico.","55601,28"
Antofagasta,"Aparatos eléctricos de alumbrado o señalización (excepto los artículos de la partida 8539), limpiaparabrisas, eliminadores de escarcha o vaho, eléctricos, de los tipos utilizados en velocípedos o vehículos automóviles.","51138,29"
Antofagasta,"Cajas, sacos (bolsas), bolsitas, cucuruchos y demás envases de papel, cartón, guata de celulosa o napa de fibras de celulosa; cartonajes de oficina, tienda o similares.","50303,28"
Antofagasta,"Máquinas automáticas para tratamiento o procesamiento de datos y sus unidades; lectores magnéticos u ópticos, máquinas para registro de datos sobre soporte en forma codificada y máquinas para tratamiento o procesamiento de estos datos, no expresados ni comprendidos en otra parte.","49633,45"
Antofagasta,"Barras y perfiles, de los demás aceros aleados; barras huecas para perforación, de aceros aleados o sin alear.","42725,06"
Antofagasta,Motores de émbolo (pistón) de encendido por compresión (motores diésel o semi-diésel).,35420
Antofagasta,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos receptores de televisión, incluso con aparato receptor de radiodifusión o grabación o reproducción de sonido o imagen incorporado.","34589,49"
Antofagasta,"Titanio y sus manufacturas, incluidos los desperdicios y desechos.","34281,72"
Antofagasta,"Papel, cartón, guata de celulosa y napa de fibras de celulosa, estucados, recubiertos, impregnados o revestidos, coloreados o decorados en la superficie o impresos, en bobinas (rollos) o en hojas de forma cuadrada o rectangular, de cualquier tamaño, excepto los productos de los tipos descritos en el texto de las partidas 4803, 4809 ó 4810.","26984,92"
Antofagasta,"Cementos hidráulicos (comprendidos los cementos sin pulverizar o clinker), incluso coloreados.","25513,6"
Antofagasta,"Instrumentos y aparatos para análisis físicos o químicos (por ejemplo: polarímetros, refractómetros, espectrómetros, analizadores de gases o humos); instrumentos y aparatos para ensayos de viscosidad, porosidad, dilatación, tensión superficial o similares o para medidas calorimétricas, acústicas o fotométricas (incluidos los exposímetros); micrótomos.","24039,34"
Antofagasta,"Accesorios de tubería (por ejemplo: empalmes (racores), codos, manguitos) de cobre.","22151,41"
Antofagasta,"Etiquetas de todas clases, de papel o cartón, incluso impresas.","22151,41"
Antofagasta,Aisladores eléctricos de cualquier materia.,"19663,5"
Antofagasta,"Guarniciones, herrajes y artículos similares, de metal común, para muebles, puertas, escaleras, ventanas, persianas, carrocerías, artículos de guarnicionería, baúles, arcas, cofres y demás manufacturas de esta clase; colgadores, perchas, soportes y artículos similares, de metal común; ruedas con montura de metal común; cierrapuertas automáticos de metal común.","18814,62"
Antofagasta,"Extracto de malta; preparaciones alimenticias de harina, grañones, sémola, almidón, fécula o extracto de malta, que no contengan cacao o con un contenido de cacao inferior al 40 % en peso calculado sobre una base totalmente desgrasada, no expresadas ni comprendidas en otra parte; preparaciones alimenticias de productos de las partidas 0401 a 0404 que no contengan cacao o con un contenido de cacao inferior al 5 % en peso calculado sobre una base totalmente desgrasada, no expresadas ni comprendidas en otra parte.",16620
Antofagasta,"Resinas amínicas, resinas fenólicas y poliuretanos, en formas primarias.",11912
Antofagasta,"Osciloscopios, analizadores de espectro y demás instrumentos y aparatos para medida o control de magnitudes eléctricas; instrumentos y aparatos para medida o detección de radiaciones alfa, beta, gamma, X, cósmicas o demás radiaciones ionizantes.","11784,26"
Antofagasta,"Construcciones y sus partes (por ejemplo: puentes y sus partes, torres, castilletes, pilares, columnas, armazones para techumbre, techados, puertas y ventanas, y sus marcos, contramarcos y umbrales, barandillas), de aluminio, excepto las construcciones prefabricadas de la partida 9406; chapas, barras, perfiles, tubos y similares, de aluminio, preparados para la construcción.","11668,42"
Antofagasta,"Aparatos de alumbrado (incluidos los proyectores) y sus partes, no expresados ni comprendidos en otra parte; anuncios, letreros y placas indicadoras, luminosos y artículos similares, con fuente de luz inseparable, y sus partes no expresadas ni comprendidas en otra parte.","11609,07"
Antofagasta,"Prendas y complementos (accesorios), de vestir, de cuero natural o cuero regenerado.","11609,07"
Antofagasta,"Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte.",11065
Antofagasta,"Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía (por ejemplo: de pilas, acumuladores, electromagnéticas), excepto los aparatos de alumbrado de la partida  8512.",10400
Antofagasta,Tubos de cobre.,"10083,51"
Antofagasta,"Aparatos y dispositivos eléctricos de encendido o de arranque, para motores de encendido por chispa o por compresión (por ejemplo: magnetos, dinamomagnetos, bobinas de encendido, bujías de encendido o calentamiento, motores de arranque); generadores (por ejemplo: dínamos, alternadores) y reguladores disyuntores utilizados con estos motores.","9194,03"
Antofagasta,"Topadoras frontales (buldóceres), topadoras angulares («angledozers»), niveladoras, traíllas («scrapers»), palas mecánicas, excavadoras, cargadoras, palas cargadoras, compactadoras y apisonadoras (aplanadoras), autopropulsadas.","7232,12"
Antofagasta,"Placas indicadoras, placas rótulo, placas de direcciones y placas similares, cifras, letras y signos diversos, de metal común, excepto los de la partida 9405.","5875,69"
Antofagasta,"Fibra de vidrio (incluida la lana de vidrio) y manufacturas de esta materia (por ejemplo: hilados, tejidos).","4772,46"
Antofagasta,"Reactivos de diagnóstico o de laboratorio sobre cualquier soporte y reactivos de diagnóstico o de laboratorio preparados, incluso sobre soporte, excepto los de las partidas 3002 ó 3006; materiales de referencia certificados.",4563
Antofagasta,Partes de vehículos para vías férreas o similares.,"3992,21"
Antofagasta,"Útiles intercambiables para herramientas de mano, incluso mecánicas, o para máquinas herramienta (por ejemplo: de embutir, estampar, punzonar, roscar (incluso aterrajar), taladrar, escariar, brochar, fresar, tornear, atornillar), incluidas las hileras de extrudir o de estirar (trefilar)* metal, así como los útiles de perforación o sondeo.",2124
Arauco,"Tableros de fibra de madera u otras materias leñosas, incluso aglomeradas con resinas o demás aglutinantes orgánicos.","817943970,97"
Arauco,"Madera contrachapada, madera chapada y madera estratificada similar.",806377186
Arauco,"Tableros de partículas, tableros llamados «oriented strand board» (OSB) y tableros similares (por ejemplo, «waferboard»), de madera u otras materias leñosas, incluso aglomeradas con resinas o demás aglutinantes orgánicos.","494940991,43"
Arauco,"Madera aserrada o desbastada longitudinalmente, cortada o desenrollada, incluso cepillada, lijada o unida por los extremos, de espesor superior a 6 mm.","269181269,13"
Arauco,"Madera (incluidas las tablillas y frisos para parqués, sin ensamblar) perfilada longitudinalmente (con lengüetas, ranuras, rebajes, acanalados, biselados, con juntas en v, moldurados, redondeados o similares) en una o varias caras, cantos o extremos, incluso cepillada, lijada o unida por los extremos.","76853804,97"
Arauco,"Obras y piezas de carpintería para construcciones, incluidos los tableros celulares, los tableros ensamblados para revestimiento de suelo y tablillas para cubierta de tejados o fachadas («shingles» y «shakes»), de madera.","40729741,06"
Arauco,"Madera en bruto, incluso descortezada, desalburada o escuadrada.","8420833,06"
Arauco,"Flejes de madera; rodrigones hendidos; estacas y estaquillas de madera, apuntadas, sin aserrar longitudinalmente; madera simplemente desbastada o redondeada, pero sin tornear, curvar ni trabajar de otro modo, para bastones, paraguas, mangos de herramientas o similares; madera en tablillas, láminas, cintas o similares.","652708,02"
Arauco,Máquinas y aparatos para la fabricación de pasta de materias fibrosas celulósicas o para la fabricación o acabado de papel o cartón.,25000
Arauco,"Las demás plantas vivas (incluidas sus raíces), esquejes e injertos; micelios.","10071,04"
Arica,Óxidos de boro; ácidos bóricos.,"23898358,57"
Arica,"Manzanas, peras y membrillos, frescos.",11366685
Arica,"Carbón activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.","6754926,02"
Arica,Partes y accesorios de vehículos automóviles de las partidas 8701 a 8705.,6743014
Arica,"Depósitos, barriles, tambores, bidones, botes, cajas y recipientes similares, de aluminio (incluidos los envases tubulares rígidos o flexibles), para cualquier materia (excepto gas comprimido o licuado),  de capacidad inferior o igual a  300 l, sin dispositivos mecánicos ni térmicos, incluso con revestimiento interior o calorífugo.","6390977,06"
Arica,Preparaciones y conservas de pescado; caviar y sus sucedáneos preparados con huevas de pescado.,"5208541,4"
Arica,"Automóviles de turismo y demás vehículos automóviles concebidos principalmente para el transporte de personas (excepto los de la partida 8702), incluidos los del tipo familiar («break» o «station wagon») y los de carreras.","3633043,49"
Arica,Chocolate y demás preparaciones alimenticias que contengan cacao.,"3237173,1"
Arica,"Alcohol etílico sin desnaturalizar con grado alcohólico volumétrico inferior al 80 % vol; aguardientes, licores y demás bebidas espirituosas.",3069961
Arica,"Las demás semillas y frutos oleaginosos, incluso quebrantados.","2939675,04"
Arica,"Semillas, frutos y esporas, para siembra.","2436195,35"
Arica,"Leche y nata (crema), concentradas o con adición de azúcar u otro edulcorante.","2353642,96"
Arica,"Productos de panadería, pastelería o galletería, incluso con adición de cacao; hostias, sellos vacíos de los tipos utilizados para medicamentos, obleas para sellar, pastas secas de harina, almidón o fécula, en hojas, y productos similares.","2069754,38"
Arica,"Boratos naturales y sus concentrados (incluso calcinados), excepto los boratos extraídos de las salmueras naturales; ácido bórico natural con un contenido de H3BO3 inferior o igual al 85 %, calculado sobre producto seco.","2038600,9"
Arica,Artículos de confitería sin cacao (incluido el chocolate blanco).,"1986883,3"
Arica,"Extracto de malta; preparaciones alimenticias de harina, grañones, sémola, almidón, fécula o extracto de malta, que no contengan cacao o con un contenido de cacao inferior al 40 % en peso calculado sobre una base totalmente desgrasada, no expresadas ni comprendidas en otra parte; preparaciones alimenticias de productos de las partidas 0401 a 0404 que no contengan cacao o con un contenido de cacao inferior al 5 % en peso calculado sobre una base totalmente desgrasada, no expresadas ni comprendidas en otra parte.","1809520,18"
Arica,"Frutas u otros frutos y demás partes comestibles de plantas, preparados o conservados de otro modo, incluso con adición de azúcar u otro edulcorante o alcohol, no expresados ni comprendidos en otra parte.","1770704,6"
Arica,Motores de émbolo (pistón) de encendido por compresión (motores diésel o semi-diésel).,1718105
Arica,Abonos minerales o químicos potásicos.,1599346
Arica,"Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados.","1481700,05"
Arica,"Desperdicios y desechos (chatarra), de fundición, hierro o acero; lingotes de chatarra de hierro o acero.","1043136,11"
Arica,"Agua, incluidas el agua mineral y la gaseada, con adición de azúcar u otro edulcorante o aromatizada, y demás bebidas no alcohólicas, excepto los jugos de frutas u otros frutos o de hortalizas de la partida 2009.","942863,24"
Arica,Vehículos automóviles para transporte de mercancías.,704312
Arica,"Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha conservación), pero todavía impropias para consumo inmediato.","627384,4"
Arica,"Obras y piezas de carpintería para construcciones, incluidos los tableros celulares, los tableros ensamblados para revestimiento de suelo y tablillas para cubierta de tejados o fachadas («shingles» y «shakes»), de madera.","560316,22"
Arica,"Las demás preparaciones y conservas de carne, despojos o sangre.",545066
Arica,"Madera (incluidas las tablillas y frisos para parqués, sin ensamblar) perfilada longitudinalmente (con lengüetas, ranuras, rebajes, acanalados, biselados, con juntas en v, moldurados, redondeados o similares) en una o varias caras, cantos o extremos, incluso cepillada, lijada o unida por los extremos.","535931,69"
